_id,parent_id,wtype,creation_cost,upgrade_cost,attack,max_attack,element,element_attack,element_2,element_2_attack,awaken,awaken_attack,defense,sharpness,affinity,horn_notes,shelling_type,phial,charges,coatings,recoil,reload_speed,rapid_fire,deviation,ammo,special_ammo,num_slots,tree_depth,final,family
66309,66308,"Great Sword",0,26600,250,0,"",0,"",0,"",0,0,"11.10.5.4.0.0.0 11.10.5.6.0.0.0 11.10.5.6.3.0.0",0,,,,,,,,,,,,0,0,0,259
66310,66309,"Great Sword",0,28500,270,0,"",0,"",0,"",0,0,"11.4.10.5.0.0.0 11.4.10.7.0.0.0 11.4.10.7.3.0.0",0,,,,,,,,,,,,0,0,0,259
66311,66310,"Great Sword",0,30400,310,0,"",0,"",0,"",0,0,"7.12.9.7.0.0.0 7.12.9.9.0.0.0 7.12.9.9.3.0.0",0,,,,,,,,,,,,0,0,0,259
66312,66311,"Great Sword",0,32300,370,0,"",0,"",0,"",0,0,"17.6.4.8.0.0.0 17.6.4.9.1.0.0 17.6.4.9.3.1.0",0,,,,,,,,,,,,0,0,1,259
66561,66308,"Great Sword",0,10000,190,0,"",0,"",0,"",0,0,"20.6.1.2.1.0.0 20.6.1.2.3.0.0 20.6.1.2.5.1.0",0,,,,,,,,,,,,1,0,0,260
66562,66561,"Great Sword",0,20000,200,0,"",0,"",0,"",0,0,"10.7.8.4.1.0.0 10.7.8.4.3.0.0 10.7.8.4.5.1.0",0,,,,,,,,,,,,1,0,0,260
66563,66562,"Great Sword",0,30000,220,0,"",0,"",0,"",0,0,"18.2.6.7.2.0.0 18.2.6.7.4.0.0 18.2.6.7.5.2.0",0,,,,,,,,,,,,1,0,0,260
66564,66563,"Great Sword",0,40000,280,0,"",0,"",0,"",0,0,"8.10.6.7.4.0.0 8.10.6.7.5.1.0 8.10.6.7.5.4.0",0,,,,,,,,,,,,1,0,0,260
66565,66564,"Great Sword",0,50000,320,0,"",0,"",0,"",0,0,"10.3.8.9.5.0.0 10.3.8.9.5.2.0 10.3.8.9.5.5.0",0,,,,,,,,,,,,1,0,0,260
66566,66565,"Great Sword",0,60000,350,0,"",0,"",0,"",0,0,"9.2.9.13.5.2.0 9.2.9.13.5.4.0 9.2.9.13.5.7.0",0,,,,,,,,,,,,1,0,1,260
66817,66307,"Great Sword",0,13000,160,0,Fire,20,"",0,"",0,0,"7.7.11.5.0.0.0 7.7.11.7.0.0.0 7.7.11.8.2.0.0",15,,,,,,,,,,,,1,0,0,261
66818,66817,"Great Sword",0,26000,190,0,Fire,22,"",0,"",0,0,"6.4.12.8.0.0.0 6.4.12.10.0.0.0 6.4.12.10.3.0.0",15,,,,,,,,,,,,1,0,0,261
66819,66818,"Great Sword",0,39000,200,0,Fire,24,"",0,"",0,0,"5.4.12.12.2.0.0 5.4.12.12.4.0.0 5.4.12.12.6.1.0",15,,,,,,,,,,,,1,0,0,261
66820,66819,"Great Sword",0,52000,260,0,Fire,26,"",0,"",0,0,"4.6.8.12.5.0.0 4.6.8.12.7.0.0 4.6.8.12.7.3.0",15,,,,,,,,,,,,2,0,0,261
66821,66820,"Great Sword",0,65000,310,0,Fire,28,"",0,"",0,0,"7.4.12.11.4.2.0 7.4.12.11.4.4.0 7.4.12.11.4.5.2",20,,,,,,,,,,,,3,0,1,261
67073,65795,"Great Sword",0,2300,80,0,Water,20,"",0,"",0,10,"5.2.10.3.0.0.0 5.2.10.5.0.0.0 5.2.10.8.0.0.0",0,,,,,,,,,,,,0,0,0,262
67074,67073,"Great Sword",0,4600,90,0,Water,25,"",0,"",0,12,"5.7.8.5.0.0.0 5.7.8.7.0.0.0 5.7.8.10.0.0.0",0,,,,,,,,,,,,0,0,0,262
67075,67074,"Great Sword",0,6900,110,0,Water,27,"",0,"",0,14,"4.6.8.7.0.0.0 4.6.8.9.0.0.0 4.6.8.12.0.0.0",0,,,,,,,,,,,,0,0,0,262
67076,67075,"Great Sword",0,29900,140,0,Water,30,"",0,"",0,18,"6.4.12.8.0.0.0 6.4.12.10.0.0.0 6.4.12.10.3.0.0",0,,,,,,,,,,,,0,0,0,262
67077,67076,"Great Sword",0,32200,160,0,Water,32,"",0,"",0,20,"11.4.10.9.1.0.0 11.4.10.9.3.0.0 11.4.10.9.5.1.0",0,,,,,,,,,,,,0,0,0,262
67078,67077,"Great Sword",0,34500,200,0,Water,38,"",0,"",0,24,"18.2.6.7.2.0.0 18.2.6.7.4.0.0 18.2.6.7.5.2.0",0,,,,,,,,,,,,0,0,0,262
67079,67078,"Great Sword",0,36800,260,0,Water,40,"",0,"",0,28,"17.6.4.9.3.1.0 17.6.4.9.3.3.0 17.6.4.9.3.6.0",0,,,,,,,,,,,,0,0,0,262
67080,67079,"Great Sword",0,39100,330,0,Water,44,"",0,"",0,32,"6.1.19.8.3.3.0 6.1.19.8.3.5.0 6.1.19.8.3.5.3",0,,,,,,,,,,,,0,0,1,262
67329,65795,"Great Sword",0,2100,90,0,Thunder,22,"",0,"",0,0,"7.6.4.3.0.0.0 7.6.4.5.0.0.0 7.6.4.8.0.0.0",0,,,,,,,,,,,,0,0,0,263
67330,67329,"Great Sword",0,4200,110,0,Thunder,30,"",0,"",0,0,"5.7.8.5.0.0.0 5.7.8.7.0.0.0 5.7.8.10.0.0.0",0,,,,,,,,,,,,2,0,0,263
67331,67330,"Great Sword",0,25200,150,0,Thunder,32,"",0,"",0,0,"10.4.7.7.2.0.0 10.4.7.7.4.0.0 10.4.7.7.7.0.0",0,,,,,,,,,,,,2,0,0,263
67332,67331,"Great Sword",0,27300,180,0,Thunder,36,"",0,"",0,0,"9.7.8.8.3.0.0 9.7.8.8.5.0.0 9.7.8.8.6.2.0",0,,,,,,,,,,,,2,0,0,263
67333,67332,"Great Sword",0,29400,190,0,Thunder,38,"",0,"",0,0,"6.5.11.9.4.0.0 6.5.11.9.6.0.0 6.5.11.9.6.3.0",0,,,,,,,,,,,,2,0,0,263
67334,67333,"Great Sword",0,31500,240,0,Thunder,40,"",0,"",0,0,"15.2.8.9.4.2.0 15.2.8.9.4.4.0 15.2.8.9.4.7.0",0,,,,,,,,,,,,2,0,0,263
67335,67334,"Great Sword",0,33600,310,0,Thunder,42,"",0,"",0,0,"9.4.5.15.3.4.0 9.4.5.15.3.6.0 9.4.5.15.3.7.2",0,,,,,,,,,,,,2,0,1,263
67585,65794,"Great Sword",0,1500,90,0,"",0,"",0,"",0,10,"3.7.5.0.0.0.0 3.7.7.0.0.0.0 3.7.10.0.0.0.0",0,,,,,,,,,,,,0,0,0,264
67586,67585,"Great Sword",0,3000,100,0,"",0,"",0,"",0,15,"4.3.11.2.0.0.0 4.3.11.4.0.0.0 4.3.11.7.0.0.0",0,,,,,,,,,,,,0,0,0,264
67587,67586,"Great Sword",0,4500,110,0,"",0,"",0,"",0,18,"4.4.9.3.0.0.0 4.4.9.5.0.0.0 4.4.9.8.0.0.0",0,,,,,,,,,,,,0,0,0,264
67588,67587,"Great Sword",0,19500,150,0,"",0,"",0,"",0,25,"3.6.16.5.0.0.0 3.6.16.7.0.0.0 3.6.16.8.2.0.0",0,,,,,,,,,,,,0,0,0,264
67589,67588,"Great Sword",0,21000,170,0,"",0,"",0,"",0,25,"7.4.12.7.0.0.0 7.4.12.9.0.0.0 7.4.12.9.3.0.0",0,,,,,,,,,,,,0,0,0,264
67590,67589,"Great Sword",22500,22500,220,0,"",0,"",0,"",0,30,"7.5.7.10.1.0.0 7.5.7.10.3.0.0 7.5.7.10.5.1.0",0,,,,,,,,,,,,0,0,0,264
67591,67590,"Great Sword",0,24000,250,0,"",0,"",0,"",0,32,"8.4.11.10.2.0.0 8.4.11.10.4.0.0 8.4.11.10.6.1.0",0,,,,,,,,,,,,0,0,0,264
67592,67591,"Great Sword",0,25500,320,0,"",0,"",0,"",0,36,"6.5.11.9.4.0.0 6.5.11.9.6.0.0 6.5.11.9.6.3.0",0,,,,,,,,,,,,0,0,0,264
67593,67592,"Great Sword",0,27000,350,0,"",0,"",0,"",0,40,"10.3.8.9.5.0.0 10.3.8.9.5.2.0 10.3.8.9.5.5.0",0,,,,,,,,,,,,0,0,1,264
67841,67587,"Great Sword",0,4000,120,0,Thunder,35,"",0,"",0,0,"6.4.5.10.0.0.0 6.4.5.12.0.0.0 6.4.5.15.0.0.0",0,,,,,,,,,,,,1,0,0,265
67842,67841,"Great Sword",0,8000,130,0,Thunder,38,"",0,"",0,0,"6.3.9.12.0.0.0 6.3.9.14.0.0.0 6.3.9.14.3.0.0",0,,,,,,,,,,,,1,0,0,265
67843,67842,"Great Sword",0,48000,160,0,Thunder,42,"",0,"",0,0,"6.3.10.10.1.0.0 6.3.10.10.3.0.0 6.3.10.10.6.0.0",0,,,,,,,,,,,,1,0,0,265
67844,67843,"Great Sword",0,52000,200,0,Thunder,48,"",0,"",0,0,"6.4.12.10.3.0.0 6.4.12.10.4.1.0 6.4.12.10.4.4.0",0,,,,,,,,,,,,1,0,0,265
67845,67844,"Great Sword",0,56000,260,0,Thunder,50,"",0,"",0,0,"11.4.10.9.5.1.0 11.4.10.9.5.3.0 11.4.10.9.5.6.0",0,,,,,,,,,,,,1,0,0,265
67846,67845,"Great Sword",0,60000,290,0,Thunder,52,"",0,"",0,0,"7.4.12.11.4.2.0 7.4.12.11.4.4.0 7.4.12.11.4.5.2",0,,,,,,,,,,,,1,0,0,265
67847,67846,"Great Sword",0,64000,310,0,Thunder,54,"",0,"",0,0,"4.3.11.14.5.3.0 4.3.11.14.5.4.1 4.3.11.14.5.4.4",0,,,,,,,,,,,,1,0,1,265
68097,67586,"Great Sword",0,1500,80,0,Fire,25,"",0,"",0,10,"9.4.11.1.0.0.0 9.4.11.3.0.0.0 9.4.11.6.0.0.0",0,,,,,,,,,,,,0,0,0,266
68098,68097,"Great Sword",0,3000,110,0,Fire,40,"",0,"",0,15,"7.4.12.2.0.0.0 7.4.12.4.0.0.0 7.4.12.7.0.0.0",0,,,,,,,,,,,,0,0,0,266
68099,68098,"Great Sword",0,4500,130,0,Fire,45,"",0,"",0,20,"6.5.11.3.0.0.0 6.5.11.5.0.0.0 6.5.11.8.0.0.0",0,,,,,,,,,,,,0,0,0,266
68100,68099,"Great Sword",0,19500,140,0,Fire,50,"",0,"",0,20,"5.3.13.4.0.0.0 5.3.13.6.0.0.0 5.3.13.9.0.0.0",0,,,,,,,,,,,,0,0,0,266
68101,68100,"Great Sword",0,21000,160,0,Fire,55,"",0,"",0,20,"10.7.8.4.1.0.0 10.7.8.4.3.0.0 10.7.8.4.5.1.0",0,,,,,,,,,,,,0,0,0,266
68102,68101,"Great Sword",22500,22500,180,0,Fire,60,"",0,"",0,20,"9.8.12.4.2.0.0 9.8.12.4.4.0.0 9.8.12.4.5.2.0",0,,,,,,,,,,,,0,0,0,266
68103,68102,"Great Sword",0,24000,230,0,Fire,62,"",0,"",0,25,"9.4.11.7.4.0.0 9.4.11.7.6.0.0 9.4.11.7.6.3.0",0,,,,,,,,,,,,0,0,0,266
68104,68103,"Great Sword",0,25500,290,0,Fire,65,"",0,"",0,30,"7.4.12.11.4.2.0 7.4.12.11.4.4.0 7.4.12.11.4.5.2",0,,,,,,,,,,,,0,0,1,266
68353,0,"Great Sword",1000,0,70,0,"",0,"",0,"",0,0,"6.3.6.0.0.0.0 6.3.8.0.0.0.0 6.3.10.1.0.0.0",0,,,,,,,,,,,,0,0,0,267
68354,68353,"Great Sword",0,2000,80,0,"",0,"",0,"",0,0,"4.6.8.2.0.0.0 4.6.8.4.0.0.0 4.6.8.7.0.0.0",0,,,,,,,,,,,,0,0,0,267
68355,68354,"Great Sword",0,3000,100,0,"",0,"",0,"",0,0,"4.4.9.3.0.0.0 4.4.9.5.0.0.0 4.4.9.8.0.0.0",0,,,,,,,,,,,,0,0,0,267
68356,68355,"Great Sword",0,4000,110,0,"",0,"",0,"",0,0,"2.4.10.4.0.0.0 2.4.10.6.0.0.0 2.4.10.9.0.0.0",0,,,,,,,,,,,,0,0,0,267
68357,68356,"Great Sword",0,5000,120,0,"",0,"",0,"",0,0,"6.3.10.6.0.0.0 6.3.10.8.0.0.0 6.3.10.10.1.0.0",0,,,,,,,,,,,,0,0,0,267
68358,68357,"Great Sword",0,15000,150,0,"",0,"",0,"",0,0,"9.2.9.10.0.0.0 9.2.9.12.0.0.0 9.2.9.13.2.0.0",0,,,,,,,,,,,,0,0,0,267
68359,68358,"Great Sword",0,16000,180,0,"",0,"",0,"",0,0,"6.4.5.15.0.0.0 6.4.5.16.1.0.0 6.4.5.16.4.0.0",0,,,,,,,,,,,,0,0,0,267
68360,68359,"Great Sword",0,17000,230,0,"",0,"",0,"",0,0,"8.2.3.17.0.0.0 8.2.3.17.2.0.0 8.2.3.17.5.0.0",0,,,,,,,,,,,,0,0,0,267
68361,68360,"Great Sword",0,18000,260,0,"",0,"",0,"",0,0,"7.6.4.16.2.0.0 7.6.4.16.4.0.0 7.6.4.16.6.1.0",0,,,,,,,,,,,,0,0,0,267
68362,68361,"Great Sword",0,19000,330,0,"",0,"",0,"",0,0,"4.6.8.12.5.0.0 4.6.8.12.7.0.0 4.6.8.12.7.3.0",0,,,,,,,,,,,,0,0,0,267
68363,68362,"Great Sword",0,20000,360,0,"",0,"",0,"",0,0,"2.4.10.13.6.0.0 2.4.10.13.7.1.0 2.4.10.13.7.4.0",0,,,,,,,,,,,,0,0,1,267
68609,68357,"Great Sword",2600,2600,130,0,Thunder,8,"",0,"",0,0,"7.4.5.4.0.0.0 7.4.5.6.0.0.0 7.4.5.9.0.0.0",0,,,,,,,,,,,,1,0,0,268
68610,68609,"Great Sword",0,5200,150,0,Thunder,10,"",0,"",0,0,"5.7.8.5.0.0.0 5.7.8.7.0.0.0 5.7.8.10.0.0.0",0,,,,,,,,,,,,1,0,0,268
68611,68610,"Great Sword",0,31200,160,0,Thunder,15,"",0,"",0,0,"7.5.7.6.0.0.0 7.5.7.8.0.0.0 7.5.7.10.1.0.0",0,,,,,,,,,,,,1,0,0,268
68612,68611,"Great Sword",0,33800,170,0,Thunder,23,"",0,"",0,0,"5.3.10.9.3.0.0 5.3.10.9.5.0.0 5.3.10.9.8.0.0",0,,,,,,,,,,,,2,0,0,268
68613,68612,"Great Sword",0,36400,200,0,Thunder,25,"",0,"",0,0,"5.3.13.10.4.0.0 5.3.13.10.6.0.0 5.3.13.10.8.1.0",0,,,,,,,,,,,,2,0,0,268
68614,68613,"Great Sword",0,39000,270,0,Thunder,30,"",0,"",0,0,"6.5.11.9.6.3.0 6.5.11.9.6.5.0 6.5.11.9.6.8.0",0,,,,,,,,,,,,2,0,0,268
68615,68614,"Great Sword",0,41600,310,0,Thunder,34,"",0,"",0,0,"7.3.10.9.7.4.0 7.3.10.9.7.6.0 7.3.10.9.7.8.1",0,,,,,,,,,,,,3,0,1,268
68865,68611,"Great Sword",0,14000,190,0,Thunder,14,"",0,"",0,0,"6.3.10.10.1.0.0 6.3.10.10.3.0.0 6.3.10.10.6.0.0",0,,,,,,,,,,,,1,0,0,269
68866,68865,"Great Sword",0,28000,200,0,Thunder,16,"",0,"",0,0,"3.2.17.12.1.0.0 3.2.17.12.3.0.0 3.2.17.12.6.0.0",0,,,,,,,,,,,,1,0,0,269
68867,68866,"Great Sword",0,42000,220,0,Thunder,18,"",0,"",0,0,"7.7.11.8.2.0.0 7.7.11.8.4.0.0 7.7.11.8.4.3.0",0,,,,,,,,,,,,1,0,0,269
68868,68867,"Great Sword",0,56000,290,0,Thunder,19,"",0,"",0,0,"3.8.15.5.3.1.0 3.8.15.5.3.3.0 3.8.15.5.3.6.0",0,,,,,,,,,,,,1,0,0,269
68869,68868,"Great Sword",0,70000,320,0,Thunder,20,"",0,"",0,0,"19.2.6.8.4.1.0 19.2.6.8.4.3.0 19.2.6.8.4.6.0",0,,,,,,,,,,,,1,0,0,269
68870,68869,"Great Sword",0,84000,340,0,Thunder,22,"",0,"",0,0,"8.6.5.16.3.2.0 8.6.5.16.3.4.0 8.6.5.16.3.4.3",0,,,,,,,,,,,,1,0,1,269
69121,68610,"Great Sword",12000,12000,150,0,Water,45,"",0,"",0,0,"7.3.10.9.1.0.0 7.3.10.9.3.0.0 7.3.10.9.6.0.0",0,,,,,,,,,,,,0,0,0,270
69122,69121,"Great Sword",0,24000,160,0,Water,50,"",0,"",0,0,"6.3.10.9.2.0.0 6.3.10.9.4.0.0 6.3.10.9.7.0.0",0,,,,,,,,,,,,0,0,0,270
69123,69122,"Great Sword",0,36000,170,0,Water,52,"",0,"",0,0,"8.4.11.10.2.0.0 8.4.11.10.4.0.0 8.4.11.10.6.1.0",0,,,,,,,,,,,,0,0,0,270
69124,69123,"Great Sword",0,48000,190,0,Water,55,"",0,"",0,0,"6.4.12.10.3.0.0 6.4.12.10.4.1.0 6.4.12.10.4.4.0",0,,,,,,,,,,,,0,0,0,270
69125,69124,"Great Sword",0,60000,250,0,Water,58,"",0,"",0,0,"3.3.17.8.4.0.0 3.3.17.8.4.2.0 3.3.17.8.4.5.0",0,,,,,,,,,,,,0,0,0,270
69126,69125,"Great Sword",0,72000,270,0,Water,60,"",0,"",0,0,"11.4.10.9.5.1.0 11.4.10.9.5.3.0 11.4.10.9.5.6.0",0,,,,,,,,,,,,0,0,0,270
69127,69126,"Great Sword",0,84000,310,0,Water,62,"",0,"",0,0,"4.3.11.14.5.3.0 4.3.11.14.5.4.1 4.3.11.14.5.4.4",0,,,,,,,,,,,,0,0,1,270
69377,69122,"Great Sword",0,10000,190,0,Water,36,"",0,"",0,0,"4.4.9.13.0.0.0 4.4.9.15.0.0.0 4.4.9.17.1.0.0",-15,,,,,,,,,,,,0,0,0,271
69378,69377,"Great Sword",0,20000,210,0,Water,38,"",0,"",0,0,"6.4.5.15.0.0.0 6.4.5.16.1.0.0 6.4.5.16.4.0.0",-15,,,,,,,,,,,,0,0,0,271
69379,69378,"Great Sword",0,30000,230,0,Water,40,"",0,"",0,0,"8.2.3.17.0.0.0 8.2.3.17.2.0.0 8.2.3.17.5.0.0",-15,,,,,,,,,,,,0,0,0,271
69380,69379,"Great Sword",0,40000,260,0,Water,42,"",0,"",0,0,"1.4.5.20.0.0.0 1.4.5.20.2.0.0 1.4.5.20.5.0.0",-15,,,,,,,,,,,,0,0,0,271
69381,69380,"Great Sword",0,50000,360,0,Water,45,"",0,"",0,0,"7.3.4.21.0.0.0 7.3.4.21.2.0.0 7.3.4.21.5.0.0",-15,,,,,,,,,,,,0,0,1,271
69633,68356,"Great Sword",1800,1800,120,0,"",0,"",0,"",0,10,"4.6.8.2.0.0.0 4.6.8.4.0.0.0 4.6.8.7.0.0.0",0,,,,,,,,,,,,1,0,0,272
69634,69633,"Great Sword",0,3600,130,0,"",0,"",0,"",0,10,"5.3.13.4.0.0.0 5.3.13.6.0.0.0 5.3.13.9.0.0.0",0,,,,,,,,,,,,1,0,0,272
69635,69634,"Great Sword",0,21600,150,0,"",0,"",0,"",0,12,"9.7.8.6.0.0.0 9.7.8.8.0.0.0 9.7.8.8.3.0.0",0,,,,,,,,,,,,2,0,0,272
69636,69635,"Great Sword",0,23400,170,0,"",0,"",0,"",0,12,"6.5.11.8.0.0.0 6.5.11.9.1.0.0 6.5.11.9.4.0.0",0,,,,,,,,,,,,2,0,0,272
69637,69636,"Great Sword",0,25200,190,0,"",0,"",0,"",0,12,"8.4.11.10.2.0.0 8.4.11.10.4.0.0 8.4.11.10.6.1.0",0,,,,,,,,,,,,2,0,0,272
69638,69637,"Great Sword",0,27000,210,0,"",0,"",0,"",0,15,"5.3.13.10.4.0.0 5.3.13.10.6.0.0 5.3.13.10.8.1.0",0,,,,,,,,,,,,2,0,0,272
69639,69638,"Great Sword",0,28800,240,0,"",0,"",0,"",0,15,"7.3.11.8.6.0.0 7.3.11.8.8.0.0 7.3.11.8.9.2.0",0,,,,,,,,,,,,2,0,0,272
69640,69639,"Great Sword",0,30600,340,0,"",0,"",0,"",0,15,"5.7.15.5.8.0.0 5.7.15.5.8.2.0 5.7.15.5.8.2.3",0,,,,,,,,,,,,2,0,1,272
69889,69635,"Great Sword",10000,10000,160,0,"",0,"",0,"",0,5,"7.3.10.9.1.0.0 7.3.10.9.3.0.0 7.3.10.9.6.0.0",0,,,,,,,,,,,,1,0,0,273
69890,69889,"Great Sword",0,20000,190,0,"",0,"",0,"",0,5,"3.6.16.8.2.0.0 3.6.16.8.4.0.0 3.6.16.8.7.0.0",0,,,,,,,,,,,,1,0,0,273
69891,69890,"Great Sword",0,30000,220,0,"",0,"",0,"",0,5,"9.7.8.8.3.0.0 9.7.8.8.5.0.0 9.7.8.8.6.2.0",0,,,,,,,,,,,,1,0,0,273
69892,69891,"Great Sword",0,40000,280,0,"",0,"",0,"",0,5,"19.2.6.8.4.1.0 19.2.6.8.4.3.0 19.2.6.8.4.3.3",0,,,,,,,,,,,,1,0,0,273
69893,69892,"Great Sword",0,50000,340,0,"",0,"",0,"",0,5,"6.1.19.8.3.3.0 6.1.19.8.3.5.0 6.1.19.8.3.5.3",0,,,,,,,,,,,,1,0,1,273
70145,69634,"Great Sword",0,3000,130,0,"",0,"",0,"",0,5,"4.6.8.7.0.0.0 4.6.8.9.0.0.0 4.6.8.12.0.0.0",0,,,,,,,,,,,,2,0,0,274
70146,70145,"Great Sword",0,33000,160,0,"",0,"",0,"",0,6,"7.4.5.14.0.0.0 7.4.5.15.1.0.0 7.4.5.15.4.0.0",0,,,,,,,,,,,,2,0,0,274
70147,70146,"Great Sword",0,36000,190,0,"",0,"",0,"",0,6,"4.4.9.17.1.0.0 4.4.9.17.3.0.0 4.4.9.17.5.1.0",0,,,,,,,,,,,,3,0,0,274
70148,70147,"Great Sword",0,39000,210,0,"",0,"",0,"",0,8,"8.7.4.14.2.0.0 8.7.4.14.4.0.0 8.7.4.14.5.2.0",0,,,,,,,,,,,,3,0,0,274
70149,70148,"Great Sword",0,42000,260,0,"",0,"",0,"",0,8,"2.4.10.13.6.0.0 2.4.10.13.7.1.0 2.4.10.13.7.4.0",0,,,,,,,,,,,,3,0,0,274
70150,70149,"Great Sword",0,45000,290,0,"",0,"",0,"",0,10,"8.1.10.12.8.1.0 8.1.10.12.8.3.0 8.1.10.12.8.6.0",0,,,,,,,,,,,,3,0,0,274
70151,70150,"Great Sword",0,48000,320,0,"",0,"",0,"",0,10,"5.2.10.15.6.2.0 5.2.10.15.6.4.0 5.2.10.15.6.4.3",0,,,,,,,,,,,,3,0,1,274
70401,69633,"Great Sword",0,2800,100,0,"",0,"",0,"",0,0,"5.7.8.10.0.0.0 5.7.8.10.2.0.0 5.7.8.10.5.0.0",30,,,,,,,,,,,,0,0,0,275
70402,70401,"Great Sword",0,5600,120,0,"",0,"",0,"",0,0,"8.4.11.10.2.0.0 8.4.11.10.4.0.0 8.4.11.10.6.1.0",30,,,,,,,,,,,,1,0,0,275
